service_id,service_title_ar,description_full,beneficiaries,fees,conditions,access_path
11,تمديد تأشيرة خروج وعودة لمن هم خارج المملكة,تمكين المواطن والمقيم من تمديد تأشيرة الخروج والعودة لمن هم خارج المملكة.,المواطن والمقيم.,100 ريال للمفردة، 200 ريال للمتعددة.,الشروط كما وردت.,خدمات العمالة > خدمات > التأشيرات
12,إصدار الإقامة (هوية مقيم),إصدار هوية مقيم لأفراد الأسرة أو العمالة المنزلية.,المواطن والمقيم.,600 ريال للعمالة المنزلية، 500 ريال لأفراد الأسرة.,الشروط كما وردت.,خدمات العمالة > خدمات > إصدار الإقامة
13,تجديد الإقامة (هوية مقيم),تجديد هوية مقيم لأفراد الأسرة أو العمالة المنزلية.,المواطن والمقيم.,600 ريال للعمالة، 500 ريال لأفراد الأسرة.,الشروط كما وردت.,خدمات العمالة > خدمات > تجديد الإقامة
14,إصدار تأشيرة الخروج والعودة أو الخروج النهائي,إصدار تأشيرة خروج وعودة أو خروج نهائي.,المواطن والمقيم.,,الشروط كما وردت.,خدمات العمالة > خدمات > التأشيرات
15,إلغاء تأشيرة الخروج والعودة أو الخروج النهائي,إلغاء التأشيرة المصدرة مسبقاً.,المواطن والمقيم.,,الشروط كما وردت.,خدمات العمالة > خدمات > التأشيرات
16,تصريح دخول مكة أثناء موسم الحج,إصدار تصريح لدخول مكة أثناء موسم الحج للعمالة المنزلية.,المواطن والمقيم.,,يجب أن يكون التاريخ بين 1-12 و 20-12.,خدماتي > خدمات > الجوازات > تصريح دخول مكة
17,طلب تقرير مقيم,تمكين صاحب العمل من الاطلاع على بيانات العمالة المنزلية وطباعتها.,المواطن والمقيم.,,صلاحية التقرير 30 يوماً.,خدماتي > خدمات > الجوازات > طلب تقرير مقيم
18,تواصل (الجوازات),تمكين الأفراد من تقديم طلب للجوازات ومتابعته.,المواطن والمقيم.,,رفع طلب واحد فقط حتى إنهاء القائم.,خدماتي > خدمات > الجوازات > تواصل
19,اشتراطات الوالدين بشأن أخذ موافقتهم,تحديد موافقة الوالدين على خدمات الجوازات لأفراد الأسرة دون 18 عاماً.,المواطن.,,شرح الشروط كما ورد.,خدماتي > خدمات > الجوازات > اشتراطات الوالدين
20A,الاستعلام عن العمالة الجديدة والزائرين,تعرض بيانات العمالة والزائرين خلال 3 أشهر.,المواطن والمقيم.,,مدخلات الخدمة: رقم الهوية، سنة الميلاد، الرمز المرئي.,أبشر > الاستعلامات
20B,الاستعلام العام عن البصمة,التحقق من تسجيل البصمة.,المواطن والمقيم.,,مدخلات: رقم الهوية/الإقامة، الرمز المرئي.,أبشر > الاستعلامات
20C,الاستعلام عن وصول العمالة,عرض العمالة ذات تأشيرة الخروج والعودة.,المواطن والمقيم.,,مدخلات: رقم الهوية، رقم الإقامة، تاريخ الانتهاء.,أبشر > الاستعلامات
20D,الاستعلام العام عن صلاحية التأمين الصحي,التحقق من صلاحية التأمين الصحي.,المقيم.,,مدخلات: رقم الإقامة، الرمز المرئي.,أبشر > الاستعلامات
21,إصدار تأشيرة خروج نهائي خلال فترة التجربة,إصدار تأشيرة خروج نهائي خلال فترة التجربة.,المواطن والمقيم.,,الشروط كما وردت.,خدمات العمالة > خدمات > إصدار تأشيرة خروج نهائي خلال فترة التجربة
22,تمديد تأشيرة الزيارة,تمديد تأشيرة الزيارة العائلية.,المقيم.,100 ريال.,الشروط كما وردت.,خدمات العمالة / خدمات أفراد الأسرة > تمديد تأشيرة الزيارة
23,مجموعة الاستعلامات الإلكترونية,مجموعة خدمات الاستعلامات كما وردت (أ–ز).,المواطن والمقيم.,,الشروط ومدخلات كل استعلام كما وردت.,أبشر > الاستعلامات
