اسم الخدمة,خطوات الخدمة,المستندات المطلوبة,سعر الخدمة,متطلبات الخدمة,صفة المستخدم
نقل ملكية المركبة بين أفراد العائلة,1- تسجيل الدخول إلى موقع منصة أبشر 2- اختيار المركبات 3- اختيار إدارة المركبات 4- اختيار المركبة المطلوبة 5- اختيار خدمة نقل ملكية المركبة بين أفراد العائلة 6- اختيار فرد من أفراد العائلة من الدرجة الأولى (أب أم أخ أخت زوج زوجة ابن ابنة) 7- إدخال الرمز التأكيدي المرسل إلى هاتف المالك الجديد 8- دفع رسوم الخدمة 9- نقل ملكية المركبة في أنظمة المرور إلى المالك الجديد بعد استيفاء جميع المتطلبات,1- أن يكون كل من المالك الحالي والمالك الجديد مسجّلين في منصة أبشر. 2- أن تكون المركبة من نوع خصوصي أو نقل خاص. 3- توفر فحص دوري ورخصة سير وتأمين للمركبة جميعها سارية المفعول. 4- سداد الرسوم الحكومية لنقل الملكية وقدرها 150 ريال سعودي عبر نظام سداد. 5- عدم وجود مخالفات مرورية على المالك الحالي أو الجديد. 6- دفع أجور الخدمة على منصة أبشر وقدرها 230 ريال سعودي تشمل ضريبة القيمة المضافة.,230,1- التحقق من ضوابط عملية نقل الملكية المحددة من قبل الإدارة العامة للمرور وتشمل: - سريان الفحص الدوري للمركبة. - سريان رخصة السير. - وجود تأمين ساري المفعول على المركبة. - عدم وجود مخالفات مرورية على المالك الجديد. 2-التحقق من إتمام العملية من قبل المالك الجديد من خلال إدخال المالك الحالي للرمز التأكيدي الذي يصله.,غير متوفر
الإبلاغ عن سرقة مركبة,تسجيل الدخول إلى موقع منصة أبشر اختيار المركبات اختيار خدمات اختيار إدارة المركبات اختيار المركبة اختيار الإبلاغ عن سرقة مركبة مراجعة شروط الخدمة تعبئة نموذج البلاغ وتقديمه,1- رقم الهوية الوطنية أو رقم الإقامة. 2- رقم لوحة المركبة. 3- تحديد موقع وتاريخ السرقة.,مجانية,رقم الهوية الوطنية أو رقم الإقامة. رقم لوحة المركبة. تحديد موقع وتاريخ السرقة.,غير متوفر
الإبلاغ عن سرقة او فقدان لوحة مركبة,تسجيل الدخول إلى موقع منصة أبشر اختيار المركبات اختيار خدمات اختيار إدارة المركبات اختيار الإبلاغ عن سرقة أو فقدان لوحة مركبة مراجعة شروط الخدمة تعبئة نموذج البلاغ وتقديمه,رقم الهوية الوطنية أو رقم الإقامة. رقم لوحة المركبة. تحديد سبب الإبلاغ (سرقة أو فقدان). رفع بلاغ رسمي في حال السرقة.,مجانية,رقم الهوية الوطنية أو رقم الإقامة. رقم لوحة المركبة. تحديد سبب الإبلاغ (سرقة أو فقدان). رفع بلاغ رسمي في حال السرقة.,غير متوفر
تواصل (المرور),تسجيل الدخول إلى موقع منصة أبشر اختيار خدماتي اختيار تواصل اختيار المرور تعبئة البيانات وتحديد نوع الطلب أو الاستفسار إرفاق المرفقات المطلوبة اختيار إرسال الطلب,اختيار الإدارة العامة للمرور ضمن الجهات المتاحة. تحديد نوع الطلب بدقة. إرفاق الوثائق الداعمة حسب الحاجة.,مجانية,اختيار الإدارة العامة للمرور ضمن الجهات المتاحة. تحديد نوع الطلب بدقة. إرفاق الوثائق الداعمة حسب الحاجة.,غير متوفر
الاستعلام عن المخالفات غير المدفوعة للزائرين,1- تسجيل الدخول إلى موقع منصة أبشر 2- اختيار خدمات أبشر الفورية 3- اختيار زوار 4- اختيار الاستعلام عن المخالفات غير المدفوعة للزائرين 5- إدخال رقم الوثيقة 6- اختيار عرض 7- سيتم عرض قائمة بالمخالفات غير المدفوعة,1- رقم الحدود أو رقم الجواز أو رقم الهوية الوطنية لدول مجلس التعاون. 2- تحديد نوع الوثيقة بشكل صحيح من القائمة. 3- إدخال رمز التحقق المرئي. 4- وجود مخالفة مرورية مسجلة على الزائر داخل المملكة.,مجانية,أن تكون المخالفة مسجلة داخل المملكة. توفر أحد الإثباتات التالية: - رقم الحدود - جواز السفر - الهوية الوطنية - رقم الإقامة - هوية مقيم سعودي في إحدى دول مجلس التعاون الخليجي - البطاقة السكانية لمواطني مملكة البحرين,غير متوفر
الاستعلام العام عن صلاحية التأمين على المركبات,1- تسجيل الدخول إلى موقع منصة أبشر 2- اختيار خدماتي 3- اختيار المرور 4- اختيار الاستعلام عن تأمين المركبة 5- تحديد المركبة المراد التحقق من تأمينها 6- عرض تفاصيل التأمين ومدة الصلاحية.,1- رقم الهوية الوطنية أو رقم الإقامة. 2- رقم لوحة المركبة. 3- إدخال رمز التحقق المرئي. 4- أن تكون بيانات المركبة محدثة في النظام.,مجانية,تسجيل الدخول إلى موقع منصة أبشر اختيار خدماتي اختيار المرور اختيار الاستعلام عن تأمين المركبة تحديد المركبة المراد التحقق من تأمينها عرض تفاصيل التأمين ومدة الصلاحية.,غير متوفر
مزاد اللوحات الإلكتروني,تسجيل الدخول إلى موقع منصة أبشر اختيار خدماتي اختيار المرور اختيار مزاد اللوحات الإلكتروني استعراض اللوحات المتاحة في المزاد اختيار اللوحة المطلوبة والمزايدة عليها تأكيد قيمة المزايدة وإرسال الطلب سيتم عرض رسالة تؤكد نجاح تقديم المزايدة,دفع العربون للدخول في المزاد. استلام اللوحة من إدارة المرور.,مجانية,1- أن يكون لدى المستفيد هوية رقمية في منصة أبشر. 2- سداد قيمة اللوحة خلال 5 أيام من تاريخ الفو,غير متوفر
إصدار إذن إصلاح مركبة,تسجيل الدخول إلى موقع منصة أبشر اختيار خدماتي اختيار المرور اختيار إصدار إذن إصلاح مركبة اختيار المركبة المراد إصلاحها تحديد سبب الإصلاح وتعبئة البيانات المطلوبة إرسال الطلب وانتظار الموافقة,رقم الهوية الوطنية أو رقم الإقامة. رقم لوحة المركبة. تحديد سبب الإصلاح أو نوع التلف. اختيار جهة الإصلاح أو الورشة المعتمدة.,مجانية,الشروط و الأحكام للحوادث المسجلة: - تقديم الطلب خلال 90 يوم من تاريخ الحادث. - يمكن للمستفيد إصدار أكثر من إذن إصلاح المركبة في نفس الوقت طالما أن كل إذن مرتبط بحادث مختلف. الشروط و الأحكام للحوادث غير المسجلة: - يمكن للمستفيد تقديم طلب واحد فقط للمركبة في نفس العام الميلادي. - في حال رغب المستفيد بإصدار إذن إصلاح مركبة أخرى خلال العام الميلادي يلزمه حينها مراجعة مكتب المرور. - يجب ألا يكون على المركبة المراد إصدار ورقة إصلاح لها أي تعاميم (سرقة مطلوبة لنقل الملكية). الشروط و الأحكام العامة للخدمة: - يتم اعتماد إذن إصلاح المركبة من قبل مسؤول الورشة. - يمكن للمستفيد إلغاء إذن إصلاح المركبة في حال عدم الاتفاق مع مسؤول الورشة. - في حال عدم اعتماد إذن إصلاح المركبة خلال 7 أيام فإن الطلب يعتبر منتهي وبالإمكان التقديم على طلب جديد.,غير متوفر
نقل اللوحات,1- تسجيل الدخول إلى موقع منصة أبشر 2- اختيار المركبات 3- اختيار إدارة المركبات 4- اختيار المركبة 5- اختيار نقل اللوحات 6- استكمال البيانات المطلوبة لنقل اللوحات 7- تأكيد الطلب بعد مراجعة التفاصيل 8- سيتم عرض رسالة تؤكد نجاح تقديم الطلب,سداد رسوم الخدمة الحكومية. وجود تأمين ساري المفعول على المركبتين. فحص دوري ساري للمركبتين. رخصة سير سارية للمركبتين.,مجانية,أن يكون كلا الطرفين مالكين للمركبتين وأن يكون نوع اللوحتين خاص أو نقل خاص. الخدمة متاحة فقط للمركبات بوضع صالحة ولا تشمل المركبات المسروقة أو المطلوبة أو المحجوزة أو المرهونة أو المصدّرة أو المستخدمة كقطع غيار. أن تكون جميع المركبات مسجّلة داخل المملكة وأن تتوافق في نوع التسجيل.,غير متوفر
مواعيد المرور,تسجيل الدخول إلى موقع منصة أبشر اختيار خدماتي اختيار المواعيد اختيار المرور اختيار حجز موعد جديد تحديد الخدمة والمنطقة والفرع اختيار اليوم والوقت المناسب تأكيد الموعد وظهور التذكرة,أن يكون لدى المستفيد موعد محجوز مسبقًا لتنفيذ الخدمة المطلوبة. في حال وجود موعد قائم يمكن تعديله أو إلغاؤه قبل الموعد المحدد. طباعة الموعد أو الاحتفاظ به إلكترونيًا لإبرازه عند الحضور إلى الفرع. إحضار الوثائق المطلوبة حسب نوع الخدمة.,مجانية,أن يكون لدى المستفيد هوية رقمية في منصة أبشر. اختيار الخدمة بدقة حسب نوع الإجراء المطلوب. الالتزام بالحضور في الموعد المحدد.,غير متوفر
استعلام المركبات المحجوزة,تسجيل الدخول إلى موقع منصة أبشر اختيار خدمات المركبات اختيار استعلامات اختيار الاستعلام عن المركبات المحجوزة سيتم عرض قائمة بالمركبات المحجوزة اختر المركبة المطلوبة للاطلاع على تفاصيل الحجز ستظهر معلومات الحجز,رقم الهوية الوطنية أو رقم الإقامة. توفر مركبة محجوزة مرتبطة بحساب المستفيد,مجانية,أن يكون لدى المستفيد هوية رقمية في منصة أبشر. أن تكون المركبة محجوزة ومسجلة باسم المستفيد. أن تكون بيانات المركبة محدثة في النظام.,غير متوفر
معلومات رخصة القيادة,تسجيل الدخول إلى موقع منصة أبشر اختيار خدماتي اختيار المرور اختيار استعلامات اختيار معلومات رخصة القيادة إدخال رقم الهوية أو رقم الإقامة اختيار عرض سيتم عرض تفاصيل رخصة القيادة,رقم الهوية الوطنية أو رقم الإقامة. توفر رخصة قيادة مسجلة باسم المستفيد.,مجانية,أن تكون رخصة القيادة صادرة ومسجلة في النظام. أن يكون لدى المستفيد هوية رقمية في منصة أبشر.,غير متوفر
الاستعلام عن معلومات رخصة القيادة,تسجيل الدخول إلى موقع منصة أبشر اختيار خدماتي اختيار المرور اختيار استعلامات اختيار الاستعلام عن معلومات رخصة القيادة إدخال رقم الهوية أو رقم الإقامة اختيار عرض ستظهر تفاصيل رخصة القيادة الخاصة بك على الشاشة,رقم الهوية الوطنية أو رقم الإقامة. تحديد نوع التقويم. إدخال تاريخ الميلاد. إدخال الرمز المرئي.,مجانية,أن تكون رخصة القيادة صادرة ومسجلة في النظام. أن يكون لدى المستفيد هوية رقمية في منصة أبشر.,غير متوفر
الاستعلام الشامل عن المخالفات المرورية,دخول منصة أبشر اختر خدماتي اختر استعلامات اختر المرور اختر الاستعلام الشامل عن المخالفات المرورية,لا يوجد متطلبات,مجانية,لا يوجد شروط,غير متوفر
استبدال لوحات المركبة,1-تسجيل الدخول إلى موقع منصة أبشر 2- اختيار المركبات 3- اختيار خدمات 4- اختيار إدارة المركبات 5- اختيار استبدال اللوحات 6- تحديد نوع الطلب وإكمال البيانات المطلوبة . 7- تأكيد الطلب والدفع,• أن يكون لدى المستفيد هوية رقمية في منصة أبشر.• تسديد رسوم الخدمة الحكومية من خلال الحساب البنكي.• دفع أجور الخدمة والتوصيل عند تقديم الطلب.,متغير حسب الخدمة,1-في حالة فقدان أو سرقة اللوحات يجب وجود بلاغ موثّق لدى الشرطة أو من خلال خدمة بلاغ اللوحات في منصة أبشر. 2- تسليم اللوحة القديمة لمزود خدمة التوصيل في حال كانت اللوحة تالفة أو في حال تغيير المقاس أو إضافة شعار. 3- تسليم اللوحة القديمة لمزود خدمة التوصيل في حال استبدالها بعد نقل الملكية.,غير متوفر
استعراض رخصة القيادة الرقمية,1- تسجيل الدخول إلى موقع منصة أبشر 2- اختيار لوحة المعلومات 3- اختيار الوثائق الرقمية 4- استعراض رخصة القيادة الرقمية,• أن يكون لدى المستفيد هوية رقمية في منصة أبشر.,مجانية,• توفر رخصة سير سارية .• أن تكون المركبة مسجلة باسم المستفيد.,غير متوفر
استعراض رخصة السير الرقمية,1- تسجيل الدخول إلى موقع منصة أبشر 2-اختيار لوحة المعلومات 3-اختيار الوثائق الرقمية 4- استعراض رخصة السير الرقمية,1- توفر رخصة سير سارية. 2- أن تكون المركبة مسجلة باسم المستفيد.,مجانية,أن يكون لدى المستفيد هوية رقمية في منصة أبشر.,غير متوفر
تسجيل الحوادث البسيطة,1- تسجيل الدخول إلى موقع منصة أبشر 2- اختيار خدماتي 3- اختيار خدمات المركبات 4-اختيار تسجيل حادث بسيط 5- إدخال بيانات الحادث المطلوبة,أن يكون لدى المستفيد هوية رقمية في منصة أبشر.,مجانية,1- يُطلب من كل طرف توثيق الحادث بالصور ويمكن رفعها لاحقًا 2- يجب أن تتضمن الصور: نقطة الاصطدام علامات الحادث وموقعه. 3- توثيق آثار الفرامل السوائل أو البقع الظاهرة على الأرض. 4- تصوير السيارة من الأمام الخلف الجهة اليمنى والجهة اليسرى.,غير متوفر
